_id: 587e4a2f93c385b3a2e34ce1
SMARTS: [C:1]-[CH;+0:2](-[CH2;+0:3]-[C:4]=[O:5])-[N;H0;+0:7](-[C:6])-[C:8]>>[C:1]-[CH;+0:2]=[CH;+0:3]-[C:4]=[O:5].[C:6]-[NH;+0:7]-[C:8]
number of examples (rxd ids): 101
number of examples (rx ids): 60
EFG Index	Name	SMARTS	In reduced set?	Number of products with group	Fraction of products with group	Fraction of products (in general) with group	Total number of products (in general) tested	Z-score
3	Carbonyl compouns: aldehydes or ketones	[$([H][CX3]([#1,#6])=[OX1]),$([#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)])]	True	27.0	0.45	0.15334496124	516000.0	-6.37637885604
4	Aldehydes	[H][CX3]([#1,#6])=[OX1]	True	0.0	0.0	6.39534883721e-05	516000.0	0.0619471927726
5	Ketones	[#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)]	True	27.0	0.45	0.153282945736	516000.0	-6.37876782276
6	Thiocarbonyl compounds: thioaldehydes or thioketones	[$([#1,#6][#6X3](=[SX1])[#1,#6]),$([#6]=[CX2]=[Sv2X1])]	True	0.0	0.0	0.00100775193798	516000.0	0.246020536717
7	Thioaldehydes	[#1][CX3]([#1,#6])=[SX1]	True	0.0	0.0	0.0	516000.0	nan
8	Thioketones	[#6&!$(C#N)][CX3](=[SX1])[#6&!$(C#N)]	True	0.0	0.0	0.000711240310078	516000.0	0.206651369316
9	Imines	[#1,#6][CX3](=[NX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6]	True	0.0	0.0	0.00808720930233	516000.0	0.699419949722
10	Hydrazones	[CX3]([#1,#6])([#1,#6])=[NX2][#7X3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.0018507751938	516000.0	0.333545185625
11	Semicarbazones	[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.0	516000.0	nan
12	Thiosemicarbazones	[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.0	516000.0	nan
13	Oximes	[#1,#6][CX3]([#1,#6])=[NX2][OH1]	True	0.0	0.0	0.00312984496124	516000.0	0.434027913893
14	Oxime ethers	[#1,#6][CX3]([#1,#6])=[NX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.0042984496124	516000.0	0.508940303685
15	Ketenes	[OX1]=[CX2]=[CX3]([#1,#6])[#1,#6]	True	0.0	0.0	6.39534883721e-05	516000.0	0.0619471927726
16	Ketene acetal derivatives	[#1,#6][CX3]([#1,#6])=[CX3]([!#6!#1])[!#6!#1]	True	0.0	0.0	0.00552906976744	516000.0	0.577571125636
17	Carbonyl hydrates	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OH1]	True	0.0	0.0	0.00022480620155	516000.0	0.11615250618
18	Hemiacetals / Hemiketals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.00373255813953	516000.0	0.474122812863
19	Acetals / Ketals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#6&!$([CX3]=[OX1,SX1,NX2])])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	True	4.0	0.0666666666667	0.0701065891473	516000.0	0.104352816173
20	Hemiaminals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,*])[#1,*]	True	0.0	0.0	0.00623643410853	516000.0	0.613623665607
21	Aminals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([NX3]([#1,*])[#1,*])[NX3]([#1,*])[#1,*]	True	0.0	0.0	0.00473837209302	516000.0	0.534467689633
22	Thiohemiaminals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[NX3]([#1,*])[#1,*]	True	0.0	0.0	0.00425968992248	516000.0	0.506630656921
23	Thioacetals / Thioketals	[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[SX2,OX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)]	True	0.0	0.0	0.00763372093023	516000.0	0.679371886938
24	Enamines	[CX3]([#1,#6])([#1,#6])=[CX3]([#1,#6])[NX3&!$([NX3](=[OX1])=[OX1])&!$([NX3+](=[OX1])[O-])]([#1,*])[#1,*]	True	0.0	0.0	0.00438953488372	516000.0	0.51432784821
25	Enols	[CX3]([#1,#6])([#1,#6])=[CX3]([OH1])[#1,#6]	True	0.0	0.0	0.00228294573643	516000.0	0.370526832592
26	Enolethers	[CX3]([#1,#6])([#1,#6])=[CX3]([OX2][#6&!$([CX3]([OX2])=[OX1,SX1,NX2,C])])[#1,#6]	True	0.0	0.0	0.00352906976744	516000.0	0.460970720358
27	Hydroxy compounds: alcohols or phenols	[#6&!$([CX4]([OH1])[#8,#16,#7,#15])&!$([CX3]([OH1])=[OX1,SX1,NH2,C])][OH1]	True	4.0	0.0666666666667	0.17026744186	516000.0	2.13496480662
28	Alcohols	[$([CX4][OH1])&!$(C([OH1])[#7,#8,#15,#16,F,Cl,Br,I])]	True	4.0	0.0666666666667	0.124036821705	516000.0	1.3481188602
29	Primary alcohols	[$([#6][CH2][OH1]),$([CH3][OH1])]	True	4.0	0.0666666666667	0.0428585271318	516000.0	-0.91044926907
30	Secondary alcohols	[OH1][CX4H1]([#6])[#6]	True	4.0	0.0666666666667	0.0691511627907	516000.0	0.0758490623374
31	Tertiary alcohols	[CX4]([OH1])([#6])([#6])[#6]	True	0.0	0.0	0.0286162790698	516000.0	1.32949299119
32	1,2-Diols	[CX4]([OH1])([#1,#6])([#1,#6])[CX4]([OH1])([#1,#6])([#1,#6])	True	0.0	0.0	0.000860465116279	516000.0	0.227315560563
33	1,2-Aminoalcohols	[CX4]([#1,#6])([#1,#6])([OH1])[CX4]([#1,#6])([#1,#6])[NH2,$([NH1]([CX4][CX4][OH1])[#6&!$([CX3]=[OX1,SX1,NX2,C])])]	True	0.0	0.0	3.87596899225e-05	516000.0	0.0482252167147
34	Phenols	c[OH1]	True	0.0	0.0	0.0502906976744	516000.0	1.78247223049
35	Diphenols	[$(c([OH1])c([OH1])),$(c([OH1])[aR1]c([OH1])),$(c1([OH1])aac([OH1])aa1)]	True	0.0	0.0	0.0063488372093	516000.0	0.619163842892
36	Enediols	[CX3]([#1,#6])([OH1])=[CX3]([#1,#6])([OH1])	True	0.0	0.0	6.00775193798e-05	516000.0	0.0600405505398
37	Ethers	[#6&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([OX2])=[OX1,SX1,NX2,C])][OX2][#6&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([OX2])=[OX1,SX1,NX2,C])]	True	14.0	0.233333333333	0.216596899225	516000.0	-0.314697387058
38	Dialkylethers	[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2][CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))]	True	14.0	0.233333333333	0.0930717054264	516000.0	-3.73903732777
39	Alkylarylethers	[CX4&!$([CX4]([OX2])([#7,O,S,F,Cl,Br,I,P]))][OX2]c	True	0.0	0.0	0.130034883721	516000.0	2.99468308142
40	Diarylethers	c[OX2&!$([OX2r3])]c	True	0.0	0.0	0.00641666666667	516000.0	0.622483798933
41	Thioethers	[#6&!$([CX4]([SX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([SX2])=[OX1,SX1,NX2,C])&!$([#6][SX2]C#N)][SX2][#6&!$([CX4]([SX2])([#7,O,S,F,Cl,Br,I,P]))&!$([CX3]([SX2])=[OX1,SX1,NX2,C])&!$([#6][SX2]C#N)]	True	1.0	0.0166666666667	0.0401821705426	516000.0	0.927486762858
42	Disulfides	[*][#16X2][#16X2][*]	True	0.0	0.0	0.00550968992248	516000.0	0.576552402792
43	Peroxides	[#6&!$([CX3]=[OX1,SX1,NX2])][OX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	True	0.0	0.0	0.00249031007752	516000.0	0.387029183375
44	Hydroperoxides	[#1,#6][OX2][OX2H1]	True	0.0	0.0	0.00100581395349	516000.0	0.245783626294
45	Hydrazine derivatives	[$([NX4]([#1,#6])([#1,#6])([#1,#6])),$([NX3]([#1,#6])([#1,#6])),$([NX2]=[#1,#6])][$([NX4]([#1,#6])([#1,#6])([#1,#6])),$([NX3]([#1,#6])([#1,#6])),$([NX2]=[#1,#6])]	True	0.0	0.0	0.0109341085271	516000.0	0.814431239198
46	Hydroxylamines	[N&!$([NH1]([CX3]=[OX1,SX1,NX2])[OH1])&!$(N([OH1])([CX3]=[OX1,SX1,NX2])([CX3]=[OX1,SX1,NX2]))]([#1,#6])([#1,#6])[OH1]	True	0.0	0.0	0.00139147286822	516000.0	0.289144759988
47	Amines	[NX3]([#1,#6&!$([CX3]=[O,S,N,C])&!$([#6]([NX3])[N,O,S,P])&!$(C([NX3])#N)])([#1,#6&!$([CX3]=[O,S,N,C])&!$([#6]([NX3])[N,O,S,P])&!$(C([NX3])#N)])[#1,#6&!$([CX3]=[O,S,N,C])&!$([#6]([NX3])[N,O,S,P])&!$(C([NX3])#N)]	True	56.0	0.933333333333	0.0693062015504	516000.0	-26.3328108555
48	Primary aliphatic amines	[NX3H2][CX4&!$([CX4]([NH2])[O,N,S,P])]	True	0.0	0.0	0.0120445736434	516000.0	0.855268264823
49	Primary aromatic amines	[NX3H2]c	True	0.0	0.0	0.0286996124031	516000.0	1.33148449638
50	Secondary aliphatic amines	[NX3H1]([CX4&!$([CX4]([NX3H1])[O,S,N,P])])[CX4&!$([CX4]([NX3H1])[O,S,N,P])]	True	0.0	0.0	0.0158507751938	516000.0	0.983037294639
51	Secondary mixed amines (aryl alkyl)	c[NX3H1][CX4&!$([CX4]([NX3H1])[O,N,S,P])]	True	0.0	0.0	0.0156085271318	516000.0	0.975376449174
52	Secondary aromatic amines	[NX3H1](c)c	True	0.0	0.0	0.00755813953488	516000.0	0.675974554935
53	Tertiary aliphatic amines	[NX3]([CX4&!$([CX4]([NX3])[O,S,N,P])])([CX4&!$([CX4]([NX3])[O,S,N,P])])[CX4&!$([CX4]([NX3])[O,S,N,P])]	True	56.0	0.933333333333	0.0476802325581	516000.0	-32.1594397464
54	Tertiary mixed amines (aryl alkyl)	c[NX3]([CX4&!$([CX4]([NX3])[O,N,S,P])])[c,CX4&!$([CX4]([NX3]c)[O,S,N,P])]	True	1.0	0.0166666666667	0.0252403100775	516000.0	0.423377743656
55	Tertiary aromatic amines	[NX3](c)(c)c	True	0.0	0.0	0.000418604651163	516000.0	0.158514340173
56	Quaternary ammonium salts	[NX4,NX4+]([#6])([#6])([#6])[#6]	True	0.0	0.0	0.00321317829457	516000.0	0.439786417433
57	N-Oxides	[$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1]=[Nv5X3&!$([Nv5X3](=[OX1])=[OX1])](=[*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R]))]	True	0.0	0.0	0.00493023255814	516000.0	0.545233381091
58	Halogen derivatives (alkyl, alkenyl, aryl)	[CX4,CX3,c;!$([#6]=[OX1])][F,Cl,Br,I]	True	0.0	0.0	0.213552325581	516000.0	4.036323869
59	Alkyl fluorides	[CX4]F AND NOT [$([CX4](F)[CX3]=[CX3]),$([CX4](F)[CX2]#[CX2]),$([CX4](F)a)]	True	0.0	0.0	0.0285019379845	516000.0	1.32675615362
60	Alkyl chlorides	[CX4]Cl AND NOT [$([CX4](Cl)[CX3]=[CX3]),$([CX4](Cl)[CX2]#[CX2]),$([CX4](Cl)a)]	True	0.0	0.0	0.0285484496124	516000.0	1.32787004633
